file1,start1,end1,method1,file2_x,start2_x,end2_x,method2,file2_y,start2_y,end2_y,classification,notes
11202699_0.java,1,12,method,jstock-1.0.7c/jstock/src/org/yccheok/jstock/gui/Utils.java,588,599,deleteDir,jstock-1.0.7c/jstock/src/org/yccheok/jstock/gui/Utils.java,501,515,UD,common snippet for recursevely delete dirs
11202699_0.java,1,12,method,jstock-1.0.7c/jstock/src/org/yccheok/jstock/gui/Utils.java,588,599,deleteDir,jstock-1.0.7c/jstock/src/org/yccheok/jstock/gui/Utils.java,588,599,UD,common snippet for recursevely delete dirs
11202699_0.java,1,12,method,hsqldb-2/hsqldb-2.0.0/hsqldb/src/org/hsqldb/test/HsqldbTestCase.java,11,22,deleteDir,c-jdbc-2/c-jdbc-2.0.2-src/src/org/objectweb/cjdbc/common/util/FileManagement.java,4,15,UD,common snippet for recursevely delete dirs
11202699_0.java,1,12,method,hsqldb-2/hsqldb-2.0.0/hsqldb/src/org/hsqldb/test/HsqldbTestCase.java,11,22,deleteDir,db-derby-10/db-derby-10.6.1.0-src/java/testing/org/apache/derbyTesting/functionTests/tests/junitTests/compatibility/CompatibilityCombinations.java,813,824,UD,common snippet for recursevely delete dirs
11202699_0.java,1,12,method,hsqldb-2/hsqldb-2.0.0/hsqldb/src/org/hsqldb/test/HsqldbTestCase.java,11,22,deleteDir,heritrix-1/heritrix-1.14.4/src/java/org/archive/util/FileUtils.java,223,234,UD,common snippet for recursevely delete dirs
11202699_0.java,1,12,method,hsqldb-2/hsqldb-2.0.0/hsqldb/src/org/hsqldb/test/HsqldbTestCase.java,11,22,deleteDir,hsqldb-2/hsqldb-2.0.0/hsqldb/src/org/hsqldb/test/HsqldbTestCase.java,11,22,UD,common snippet for recursevely delete dirs
11202699_0.java,1,12,method,hsqldb-2/hsqldb-2.0.0/hsqldb/src/org/hsqldb/test/HsqldbTestCase.java,11,22,deleteDir,jstock-1.0.7c/jstock/src/org/yccheok/jstock/gui/Utils.java,501,515,UD,common snippet for recursevely delete dirs
11202699_0.java,1,12,method,hsqldb-2/hsqldb-2.0.0/hsqldb/src/org/hsqldb/test/HsqldbTestCase.java,11,22,deleteDir,jstock-1.0.7c/jstock/src/org/yccheok/jstock/gui/Utils.java,588,599,UD,common snippet for recursevely delete dirs
11202699_0.java,1,12,method,heritrix-1/heritrix-1.14.4/src/java/org/archive/util/FileUtils.java,223,234,deleteDir,c-jdbc-2/c-jdbc-2.0.2-src/src/org/objectweb/cjdbc/common/util/FileManagement.java,4,15,UD,common snippet for recursevely delete dirs
11202699_0.java,1,12,method,heritrix-1/heritrix-1.14.4/src/java/org/archive/util/FileUtils.java,223,234,deleteDir,db-derby-10/db-derby-10.6.1.0-src/java/testing/org/apache/derbyTesting/functionTests/tests/junitTests/compatibility/CompatibilityCombinations.java,813,824,UD,common snippet for recursevely delete dirs
11202699_0.java,1,12,method,heritrix-1/heritrix-1.14.4/src/java/org/archive/util/FileUtils.java,223,234,deleteDir,heritrix-1/heritrix-1.14.4/src/java/org/archive/util/FileUtils.java,223,234,UD,common snippet for recursevely delete dirs
